"DT_VENDA","CD_PRODUTO","DS_PRODUTO","UND_MED","QTD_SAIDA"
22/02/23 00:00:00,"27090","REFRIG COCA COLA PET 2L","UN",135
26/02/23 00:00:00,"225","COXA/SOBREC C/DORSO PCTAO KG","KG",99
10/05/23 00:00:00,"225","COXA/SOBREC C/DORSO PCTAO KG","KG",388
02/05/23 00:00:00,"53056","SABON PALMOLIVE 85G HIDR INTENSIVA","UN",27
07/02/23 00:00:00,"53056","SABON PALMOLIVE 85G HIDR INTENSIVA","UN",41
05/05/23 00:00:00,"27090","REFRIG COCA COLA PET 2L","UN",215
10/05/23 00:00:00,"27090","REFRIG COCA COLA PET 2L","UN",223
27/05/23 00:00:00,"28151","CAFE PO CABOCLO PCT 500G TRAD","UN",111
14/05/23 00:00:00,"53056","SABON PALMOLIVE 85G HIDR INTENSIVA","UN",23
14/05/23 00:00:00,"16871","DETERG LIMPOL NEUTRO FR 500ML","UN",28
16/05/23 00:00:00,"27090","REFRIG COCA COLA PET 2L","UN",131
07/05/23 00:00:00,"53056","SABON PALMOLIVE 85G HIDR INTENSIVA","UN",35
26/05/23 00:00:00,"16871","DETERG LIMPOL NEUTRO FR 500ML","UN",25
11/05/23 00:00:00,"27090","REFRIG COCA COLA PET 2L","UN",185
03/05/23 00:00:00,"28151","CAFE PO CABOCLO PCT 500G TRAD","UN",78
19/05/23 00:00:00,"16871","DETERG LIMPOL NEUTRO FR 500ML","UN",61
16/05/23 00:00:00,"28627","OLEO SOJA COAMO PET 900ML","UN",220
01/05/23 00:00:00,"53056","SABON PALMOLIVE 85G HIDR INTENSIVA","UN",33
07/05/23 00:00:00,"28627","OLEO SOJA COAMO PET 900ML","UN",241
25/05/23 00:00:00,"16871","DETERG LIMPOL NEUTRO FR 500ML","UN",52
21/07/23 00:00:00,"28627","OLEO SOJA COAMO PET 900ML","UN",265
02/07/23 00:00:00,"27090","REFRIG COCA COLA PET 2L","UN",166
05/02/23 00:00:00,"16871","DETERG LIMPOL NEUTRO FR 500ML","UN",21
24/02/23 00:00:00,"16871","DETERG LIMPOL NEUTRO FR 500ML","UN",61
02/06/23 00:00:00,"16871","DETERG LIMPOL NEUTRO FR 500ML","UN",128
29/06/23 00:00:00,"27090","REFRIG COCA COLA PET 2L","UN",175
23/06/23 00:00:00,"30812","OVO GAL LOCKS BJ C/30 PLAST","UN",413
04/06/23 00:00:00,"16871","DETERG LIMPOL NEUTRO FR 500ML","UN",42
01/08/23 00:00:00,"16871","DETERG LIMPOL NEUTRO FR 500ML","UN",121
25/08/23 00:00:00,"225","COXA/SOBREC C/DORSO PCTAO KG","KG",259
18/08/23 00:00:00,"30812","OVO GAL LOCKS BJ C/30 PLAST","UN",214
02/02/23 00:00:00,"27090","REFRIG COCA COLA PET 2L","UN",301
28/01/24 00:00:00,"179","ACEM BOVINO POSTA KG","KG",78
21/02/23 00:00:00,"30812","OVO GAL LOCKS BJ C/30 PLAST","UN",371
17/02/23 00:00:00,"27090","REFRIG COCA COLA PET 2L","UN",296
12/02/23 00:00:00,"179","ACEM BOVINO POSTA KG","KG",90
05/02/23 00:00:00,"30812","OVO GAL LOCKS BJ C/30 PLAST","UN",37
22/02/23 00:00:00,"52565","CR DENTAL SORRISO 70G TRIP ACAO LIMP COMP","UN",86
20/02/23 00:00:00,"30812","OVO GAL LOCKS BJ C/30 PLAST","UN",248
