"CD_FILIAL","DT_VENDA","ANOMES_VENDA","CD_PRODUTO","DS_PRODUTO","UND_MED","QTD_SAIDA"
"1",08/02/2023 00:00:00,"202302","16871","DETERG LIMPOL NEUTRO FR 500ML","UN",81
"3",22/02/2023 00:00:00,"202302","27090","REFRIG COCA COLA PET 2L","UN",40
"2",26/02/2023 00:00:00,"202302","225","COXA/SOBREC C/DORSO PCTAO KG","KG",32,1259999999999987
"3",12/02/2023 00:00:00,"202302","28627","OLEO SOJA COAMO PET 900ML","UN",20
"2",16/02/2023 00:00:00,"202302","367","PAO FRANCES LISANDRA KG","KG",120,15599999999999946
"2",24/05/2023 00:00:00,"202305","30812","OVO GAL LOCKS BJ C/30 PLAST","UN",58
"1",31/05/2023 00:00:00,"202305","30812","OVO GAL LOCKS BJ C/30 PLAST","UN",15
"2",24/05/2023 00:00:00,"202305","60402","LEITE LV LATVIDA 1L INTEGRAL TP","UN",49
"2",20/05/2023 00:00:00,"202305","53056","SABON PALMOLIVE 85G HIDR INTENSIVA","UN",25
"1",12/05/2023 00:00:00,"202305","53056","SABON PALMOLIVE 85G HIDR INTENSIVA","UN",43
"1",12/05/2023 00:00:00,"202305","27090","REFRIG COCA COLA PET 2L","UN",121
"1",10/05/2023 00:00:00,"202305","225","COXA/SOBREC C/DORSO PCTAO KG","KG",222,1280000000000027
"3",02/05/2023 00:00:00,"202305","53056","SABON PALMOLIVE 85G HIDR INTENSIVA","UN",2
"2",10/05/2023 00:00:00,"202305","28627","OLEO SOJA COAMO PET 900ML","UN",81
"3",05/05/2023 00:00:00,"202305","60402","LEITE LV LATVIDA 1L INTEGRAL TP","UN",110
"1",19/05/2023 00:00:00,"202305","27090","REFRIG COCA COLA PET 2L","UN",16
"2",12/05/2023 00:00:00,"202305","52565","CR DENTAL SORRISO 70G TRIP ACAO LIMP COMP","UN",4
"3",31/05/2023 00:00:00,"202305","30812","OVO GAL LOCKS BJ C/30 PLAST","UN",22
"3",10/05/2023 00:00:00,"202305","60402","LEITE LV LATVIDA 1L INTEGRAL TP","UN",78
"1",26/05/2023 00:00:00,"202305","53056","SABON PALMOLIVE 85G HIDR INTENSIVA","UN",18
"2",28/05/2023 00:00:00,"202305","179","ACEM BOVINO POSTA KG","KG",40,7700000000000014
"1",14/05/2023 00:00:00,"202305","179","ACEM BOVINO POSTA KG","KG",24,7499999999999996
"1",12/05/2023 00:00:00,"202305","60402","LEITE LV LATVIDA 1L INTEGRAL TP","UN",14
"2",04/05/2023 00:00:00,"202305","367","PAO FRANCES LISANDRA KG","KG",154,56099999999999928
"1",21/05/2023 00:00:00,"202305","16871","DETERG LIMPOL NEUTRO FR 500ML","UN",32
"1",28/05/2023 00:00:00,"202305","28627","OLEO SOJA COAMO PET 900ML","UN",39
"2",03/05/2023 00:00:00,"202305","16871","DETERG LIMPOL NEUTRO FR 500ML","UN",29
"1",11/05/2023 00:00:00,"202305","53056","SABON PALMOLIVE 85G HIDR INTENSIVA","UN",44
"2",24/05/2023 00:00:00,"202305","52565","CR DENTAL SORRISO 70G TRIP ACAO LIMP COMP","UN",21
"3",03/05/2023 00:00:00,"202305","30812","OVO GAL LOCKS BJ C/30 PLAST","UN",46
"3",20/05/2023 00:00:00,"202305","27090","REFRIG COCA COLA PET 2L","UN",61
"3",29/05/2023 00:00:00,"202305","179","ACEM BOVINO POSTA KG","KG",0
"2",04/05/2023 00:00:00,"202305","27090","REFRIG COCA COLA PET 2L","UN",24
"2",15/05/2023 00:00:00,"202305","52565","CR DENTAL SORRISO 70G TRIP ACAO LIMP COMP","UN",1
"2",21/05/2023 00:00:00,"202305","27090","REFRIG COCA COLA PET 2L","UN",8
"2",11/05/2023 00:00:00,"202305","30812","OVO GAL LOCKS BJ C/30 PLAST","UN",62
"2",06/05/2023 00:00:00,"202305","225","COXA/SOBREC C/DORSO PCTAO KG","KG",261,5289999999999975
"1",29/05/2023 00:00:00,"202305","225","COXA/SOBREC C/DORSO PCTAO KG","KG",105,7060000000000009
"2",20/05/2023 00:00:00,"202305","16871","DETERG LIMPOL NEUTRO FR 500ML","UN",15
"1",04/05/2023 00:00:00,"202305","225","COXA/SOBREC C/DORSO PCTAO KG","KG",5,7010000000000005
"3",07/02/2023 00:00:00,"202302","53056","SABON PALMOLIVE 85G HIDR INTENSIVA","UN",4
"1",23/05/2023 00:00:00,"202305","367","PAO FRANCES LISANDRA KG","KG",108,16999999999999817
"2",05/05/2023 00:00:00,"202305","27090","REFRIG COCA COLA PET 2L","UN",71
"2",10/05/2023 00:00:00,"202305","27090","REFRIG COCA COLA PET 2L","UN",48
"2",16/05/2023 00:00:00,"202305","53056","SABON PALMOLIVE 85G HIDR INTENSIVA","UN",12
"3",11/05/2023 00:00:00,"202305","52565","CR DENTAL SORRISO 70G TRIP ACAO LIMP COMP","UN",3
"2",31/05/2023 00:00:00,"202305","367","PAO FRANCES LISANDRA KG","KG",149,2559999999999982
"2",26/05/2023 00:00:00,"202305","53056","SABON PALMOLIVE 85G HIDR INTENSIVA","UN",10
"1",06/05/2023 00:00:00,"202305","367","PAO FRANCES LISANDRA KG","KG",204,484999999999998106
"1",31/05/2023 00:00:00,"202305","53056","SABON PALMOLIVE 85G HIDR INTENSIVA","UN",21
"2",18/05/2023 00:00:00,"202305","27090","REFRIG COCA COLA PET 2L","UN",36
"2",25/05/2023 00:00:00,"202305","179","ACEM BOVINO POSTA KG","KG",54,6339999999999999
"2",25/05/2023 00:00:00,"202305","27090","REFRIG COCA COLA PET 2L","UN",71
"3",09/05/2023 00:00:00,"202305","27090","REFRIG COCA COLA PET 2L","UN",15
"1",25/05/2023 00:00:00,"202305","225","COXA/SOBREC C/DORSO PCTAO KG","KG",198,3969999999999994
"2",18/05/2023 00:00:00,"202305","225","COXA/SOBREC C/DORSO PCTAO KG","KG",59,5270000000000009
"3",05/05/2023 00:00:00,"202305","16871","DETERG LIMPOL NEUTRO FR 500ML","UN",17
"1",17/05/2023 00:00:00,"202305","28627","OLEO SOJA COAMO PET 900ML","UN",83
"1",20/05/2023 00:00:00,"202305","52565","CR DENTAL SORRISO 70G TRIP ACAO LIMP COMP","UN",34
"2",11/05/2023 00:00:00,"202305","53056","SABON PALMOLIVE 85G HIDR INTENSIVA","UN",18
"3",10/05/2023 00:00:00,"202305","27090","REFRIG COCA COLA PET 2L","UN",26
"2",10/05/2023 00:00:00,"202305","225","COXA/SOBREC C/DORSO PCTAO KG","KG",110,1470000000000009
"1",14/02/2023 00:00:00,"202302","27090","REFRIG COCA COLA PET 2L","UN",80
"1",11/05/2023 00:00:00,"202305","52565","CR DENTAL SORRISO 70G TRIP ACAO LIMP COMP","UN",39
"1",13/05/2023 00:00:00,"202305","60402","LEITE LV LATVIDA 1L INTEGRAL TP","UN",1
"1",14/05/2023 00:00:00,"202305","53056","SABON PALMOLIVE 85G HIDR INTENSIVA","UN",13
"2",14/05/2023 00:00:00,"202305","16871","DETERG LIMPOL NEUTRO FR 500ML","UN",9
"2",23/05/2023 00:00:00,"202305","367","PAO FRANCES LISANDRA KG","KG",140,19799999999999759
"3",30/05/2023 00:00:00,"202305","16871","DETERG LIMPOL NEUTRO FR 500ML","UN",8
"1",15/05/2023 00:00:00,"202305","367","PAO FRANCES LISANDRA KG","KG",125,41799999999999779
"1",05/05/2023 00:00:00,"202305","53056","SABON PALMOLIVE 85G HIDR INTENSIVA","UN",34
"3",12/05/2023 00:00:00,"202305","30812","OVO GAL LOCKS BJ C/30 PLAST","UN",52
"2",11/05/2023 00:00:00,"202305","16871","DETERG LIMPOL NEUTRO FR 500ML","UN",22
"3",26/05/2023 00:00:00,"202305","60402","LEITE LV LATVIDA 1L INTEGRAL TP","UN",5
"2",12/05/2023 00:00:00,"202305","28627","OLEO SOJA COAMO PET 900ML","UN",94
"2",18/05/2023 00:00:00,"202305","52565","CR DENTAL SORRISO 70G TRIP ACAO LIMP COMP","UN",5
"3",17/05/2023 00:00:00,"202305","30812","OVO GAL LOCKS BJ C/30 PLAST","UN",30
"2",17/05/2023 00:00:00,"202305","53056","SABON PALMOLIVE 85G HIDR INTENSIVA","UN",20
"1",16/05/2023 00:00:00,"202305","27090","REFRIG COCA COLA PET 2L","UN",8
"2",04/05/2023 00:00:00,"202305","60402","LEITE LV LATVIDA 1L INTEGRAL TP","UN",208
"2",03/05/2023 00:00:00,"202305","60402","LEITE LV LATVIDA 1L INTEGRAL TP","UN",279
"2",07/05/2023 00:00:00,"202305","53056","SABON PALMOLIVE 85G HIDR INTENSIVA","UN",6
"2",30/05/2023 00:00:00,"202305","225","COXA/SOBREC C/DORSO PCTAO KG","KG",33,8460000000000003
"1",11/05/2023 00:00:00,"202305","60402","LEITE LV LATVIDA 1L INTEGRAL TP","UN",67
"1",02/05/2023 00:00:00,"202305","27090","REFRIG COCA COLA PET 2L","UN",20
"2",05/05/2023 00:00:00,"202305","60402","LEITE LV LATVIDA 1L INTEGRAL TP","UN",316
"3",07/05/2023 00:00:00,"202305","52565","CR DENTAL SORRISO 70G TRIP ACAO LIMP COMP","UN",4
"3",24/05/2023 00:00:00,"202305","28627","OLEO SOJA COAMO PET 900ML","UN",41
"1",07/05/2023 00:00:00,"202305","60402","LEITE LV LATVIDA 1L INTEGRAL TP","UN",-5
"1",16/05/2023 00:00:00,"202305","179","ACEM BOVINO POSTA KG","KG",0
"1",26/05/2023 00:00:00,"202305","16871","DETERG LIMPOL NEUTRO FR 500ML","UN",19
"3",09/05/2023 00:00:00,"202305","225","COXA/SOBREC C/DORSO PCTAO KG","KG",-3,754
"2",08/05/2023 00:00:00,"202305","27090","REFRIG COCA COLA PET 2L","UN",31
"3",15/05/2023 00:00:00,"202305","28627","OLEO SOJA COAMO PET 900ML","UN",21
"3",26/05/2023 00:00:00,"202305","30812","OVO GAL LOCKS BJ C/30 PLAST","UN",65
"3",12/05/2023 00:00:00,"202305","60402","LEITE LV LATVIDA 1L INTEGRAL TP","UN",52
"2",03/05/2023 00:00:00,"202305","27090","REFRIG COCA COLA PET 2L","UN",49
"2",28/05/2023 00:00:00,"202305","27090","REFRIG COCA COLA PET 2L","UN",48
