"CD_FILIAL","DT_VENDA","ANOMES_VENDA","CD_PRODUTO","DS_PRODUTO","UND_MED","QTD_SAIDA"
"1",08/02/2023 00:00:00,"202302","16871","DETERG LIMPOL NEUTRO FR 500ML","UN",81
"1",21/05/2023 00:00:00,"202305","16871","DETERG LIMPOL NEUTRO FR 500ML","UN",32
"2",03/05/2023 00:00:00,"202305","16871","DETERG LIMPOL NEUTRO FR 500ML","UN",29
"2",20/05/2023 00:00:00,"202305","16871","DETERG LIMPOL NEUTRO FR 500ML","UN",15
"3",05/05/2023 00:00:00,"202305","16871","DETERG LIMPOL NEUTRO FR 500ML","UN",17
"2",14/05/2023 00:00:00,"202305","16871","DETERG LIMPOL NEUTRO FR 500ML","UN",9
"3",30/05/2023 00:00:00,"202305","16871","DETERG LIMPOL NEUTRO FR 500ML","UN",8
"2",11/05/2023 00:00:00,"202305","16871","DETERG LIMPOL NEUTRO FR 500ML","UN",22
"1",26/05/2023 00:00:00,"202305","16871","DETERG LIMPOL NEUTRO FR 500ML","UN",19
"3",04/05/2023 00:00:00,"202305","16871","DETERG LIMPOL NEUTRO FR 500ML","UN",12
"2",16/05/2023 00:00:00,"202305","16871","DETERG LIMPOL NEUTRO FR 500ML","UN",51
"1",02/05/2023 00:00:00,"202305","16871","DETERG LIMPOL NEUTRO FR 500ML","UN",38
"1",12/05/2023 00:00:00,"202305","16871","DETERG LIMPOL NEUTRO FR 500ML","UN",35
"1",19/05/2023 00:00:00,"202305","16871","DETERG LIMPOL NEUTRO FR 500ML","UN",41
"2",15/01/2023 00:00:00,"202301","16871","DETERG LIMPOL NEUTRO FR 500ML","UN",10
"3",09/05/2023 00:00:00,"202305","16871","DETERG LIMPOL NEUTRO FR 500ML","UN",5
"1",25/05/2023 00:00:00,"202305","16871","DETERG LIMPOL NEUTRO FR 500ML","UN",34
"2",18/07/2023 00:00:00,"202307","16871","DETERG LIMPOL NEUTRO FR 500ML","UN",48
